Store,Dept,order,aic,cv_wmae_mean,cv_wmae_std,holdout_wmae,holdout_mae,holdout_rmse,n_missing_weeks
44,16,"(1, 1, 2)",1428.9059979990975,277.8931841882616,168.3617939642558,284.71414572535684,290.3837546403764,384.9960919890032,0
23,36,"(2, 1, 2)",1712.364701419051,1995.7190331985812,1218.6747032094668,1917.1084652971563,1925.900436371285,2553.5882654157645,0
17,28,"(0, 1, 2)",1434.0128959811232,386.1088262733262,67.1232711633074,625.5613999497061,639.0215375767182,703.849190681158,0
37,67,"(0, 1, 2)",1602.62476108624,619.7566051374928,238.47705841378342,700.7310306940165,667.4871395543277,1101.6545140077683,0
40,26,"(2, 1, 2)",1700.3229097073645,1485.7427372976515,400.5891111872128,788.3257481302288,743.8780659598333,898.5182807592937,0
42,52,"(0, 1, 2)",846.231075245713,11.419394559802129,1.831937353546851,9.459951995455954,8.398403686831537,10.604477531487902,0
27,37,"(0, 1, 2)",1468.3510688061515,275.85656997532493,42.39383152878945,193.26821466329102,211.9524236382932,276.55670369373223,0
13,48,"(0, 1, 2)",1633.0597671619819,709.505875634753,312.7432949095118,660.1659590953283,670.4564122430879,821.4183888998898,4
45,60,"(0, 1, 2)",1190.8324958478136,65.10937349635856,18.206477819692534,53.25111517707364,46.55154306614852,60.26149501529737,0
28,44,"(2, 1, 2)",1663.0401855266184,662.0771366351463,420.1352663562468,491.16338639307344,499.44159243690154,585.4422643122972,0
28,36,"(2, 1, 2)",1668.0180496471362,1197.141737915438,656.0842379050375,734.0219671859157,752.7313213109726,1046.0654688305826,0
45,85,"(0, 1, 2)",1592.8598238013878,390.41954742687625,229.17804409904483,486.2566901810497,516.5698573976753,569.4592319727388,0
3,97,"(0, 1, 2)",1184.8671600070786,68.45142874766155,11.055131356952588,142.6990079003553,152.71761114624272,167.65627284553338,3
7,31,"(1, 1, 2)",1635.537362280638,939.5193403103,435.6640979486431,634.1104117998858,676.9292363655287,825.5855405582289,0
15,81,"(0, 1, 2)",1478.6247184118984,351.7031442426028,99.21027875387048,236.4303169042918,192.46790472663375,259.6291042183504,0
31,44,"(1, 1, 2)",1582.522126040866,456.0833920319308,350.79616784815136,490.5822490265172,507.20518355624256,602.3513611309806,0
2,85,"(1, 1, 2)",1665.138112094637,834.882799231323,317.8160304865021,763.0879418248118,835.64348203639,932.7163280560582,0
22,80,"(0, 1, 2)",1393.0873873944845,256.7793862651554,48.52882639945291,166.15059265992716,160.91302243122513,194.95892320426725,0
36,16,"(0, 1, 2)",1337.0647925525855,128.7826788771821,22.836141467486,104.54390497079405,117.399257350781,180.25902683155942,0
28,56,"(1, 1, 2)",1513.2724247672438,540.3297748588632,425.43758486143946,505.36515758114507,591.7668810810306,857.335450958766,1
