Store,Dept,WeightSum,LightGBMWeightedErrorSum,PatchTSTWeightedErrorSum,MeanSales,LightGBMWMAE,PatchTSTWMAE,Difference,Winner
1,1,47.0,179977.59443582676,251430.49599999998,21828.21282051282,3829.310519911208,5349.585021276595,1520.2745013653876,LightGBM
1,2,47.0,68927.26799706885,84940.50999999998,46910.222307692304,1466.5376169589117,1807.2448936170208,340.7072766581091,LightGBM
1,3,47.0,114765.27416738788,144011.5578,14219.503333333334,2441.814343986976,3064.0756978723407,622.2613538853648,LightGBM
1,4,47.0,93590.60509450521,88786.74499999997,38049.909230769226,1991.2894700958557,1889.0796808510631,-102.20978924479255,PatchTST
1,5,47.0,163353.69789904187,145727.274,22536.497948717948,3475.6105935966357,3100.5802978723405,-375.03029572429523,PatchTST
1,6,47.0,63300.76681193052,53406.54100000001,3833.711794871795,1346.8248257857558,1136.3093829787238,-210.51544280703206,PatchTST
1,7,47.0,146170.55654566598,182272.44499999998,20512.018205128203,3110.0118413971486,3878.137127659574,768.1252862624256,LightGBM
1,8,47.0,153886.06273445874,144930.73500000002,38156.50230769231,3274.1715475416754,3083.6326595744686,-190.53888796720685,PatchTST
1,9,47.0,228709.33736075842,220497.694,30970.396666666667,4866.15611405869,4691.44029787234,-174.7158161863499,PatchTST
1,10,47.0,126967.8351248023,208889.74499999997,32776.28512820513,2701.4433005277083,4444.462659574468,1743.0193590467593,LightGBM
1,11,47.0,183637.5130014083,174675.87300000002,25243.49205128205,3907.1811276895387,3716.5079361702133,-190.67319151932543,PatchTST
1,12,47.0,68543.79276310225,53131.80200000002,11009.607692307693,1458.3785694277074,1130.463872340426,-327.9146970872814,PatchTST
1,13,47.0,187705.34698843438,151084.63400000005,40429.31923076923,3993.7307869879655,3214.566680851065,-779.1641061369005,PatchTST
1,14,47.0,74202.32840843739,105861.88350000001,14414.662564102564,1578.77294486037,2252.3805,673.6075551396302,LightGBM
1,16,47.0,194308.660012927,228796.65399999998,29095.30717948718,4134.226808785681,4868.013914893617,733.7871061079359,LightGBM
1,17,47.0,39713.48586664263,29398.85560000001,8375.168974358976,844.9677843966517,625.507565957447,-219.4602184392047,PatchTST
1,18,38.0,66183.57462405469,122522.47464,4253.385666666667,1741.6730164224919,3224.2756484210527,1482.6026319985608,LightGBM
1,19,47.0,16665.9426816074,10661.05724,1110.7923076923078,354.594525140583,226.83100510638297,-127.76352003420004,PatchTST
1,20,47.0,42696.443032647454,33559.343499999995,4443.878717948718,908.4349581414352,714.0285851063829,-194.4063730350523,PatchTST
1,21,47.0,39942.08295304125,27401.136999999995,7525.041538461538,849.8315521923671,583.0029148936169,-266.8286372987502,PatchTST
1,22,47.0,49404.95961300136,30601.7002,7499.901794871795,1051.169353468114,651.1000042553192,-400.0693492127948,PatchTST
1,23,47.0,82365.62335833065,139123.94799999997,20931.87051282051,1752.4600714538435,2960.0839999999994,1207.6239285461559,LightGBM
1,24,47.0,52848.96683631831,68144.0802,6112.058974358974,1124.4461029003896,1449.8740468085105,325.4279439081208,LightGBM
1,25,47.0,62401.002723388476,79715.5539,10442.491794871794,1327.6809090082654,1696.075614893617,368.39470588535164,LightGBM
1,26,47.0,47307.75370460399,55268.738000000005,6506.097435897435,1006.547951161787,1175.9305957446809,169.38264458289393,LightGBM
1,27,47.0,15113.779758974128,18234.20258,1290.1776923076923,321.56978210583253,387.96175702127664,66.39197491544411,LightGBM
1,28,47.0,4409.784508333496,3318.2627700000003,473.27871794871794,93.825202304968,70.6013355319149,-23.223866773053103,PatchTST
1,29,47.0,23287.243160300804,30332.592,4186.481025641026,495.47325872980434,645.3742978723404,149.9010391425361,LightGBM
1,30,47.0,17066.27276417449,27992.4028,3162.1453846153845,363.11218647179766,595.5830382978723,232.4708518260747,LightGBM
1,31,47.0,19918.26815896029,16038.561399999997,2119.587692307692,423.79293955234664,341.2459872340425,-82.54695231830414,PatchTST
1,32,47.0,50235.084673883306,68705.8126,7366.091794871795,1068.8315888060279,1461.8258,392.9942111939722,LightGBM
1,33,47.0,50590.536564799986,68773.4308,5957.282564102564,1076.3943949957443,1463.264485106383,386.8700901106388,LightGBM
1,34,47.0,93311.23058899262,141201.915,12586.002051282052,1985.345331680694,3004.2960638297873,1018.9507321490933,LightGBM
1,35,47.0,21905.442666715557,23362.4044,2369.841282051282,466.0732482279906,497.0724340425532,30.999185814562622,LightGBM
1,36,47.0,31011.280197791246,35597.61206,1604.281282051282,659.8144722934308,757.3960012765957,97.58152898316496,LightGBM
1,37,47.0,12598.286366599083,19763.599299999994,2792.9479487179487,268.04864609785284,420.50211276595735,152.4534666681045,LightGBM
1,38,47.0,323111.96293493744,315928.98399999994,77329.6823076923,6874.722615636967,6721.893276595743,-152.82933904122365,PatchTST
1,40,47.0,118312.39628949264,134888.50300000006,59590.75743589744,2517.2850274360135,2869.9681489361715,352.683121500158,LightGBM
1,41,47.0,23461.47830290672,13936.54233,700.2215384615384,499.1803894235472,296.52217723404254,-202.65821218950464,PatchTST
1,42,47.0,33353.68348219573,32544.722199999997,8084.800769230768,709.6528400467176,692.4408978723403,-17.211942174377327,PatchTST
1,44,47.0,28600.793999184047,42029.71799999999,5045.706666666667,608.5275318975329,894.249319148936,285.72178725140316,LightGBM
1,45,14.0,500.91220678000906,234.45307599999998,27.175,35.77944334142922,16.746648285714283,-19.03279505571494,PatchTST
1,46,47.0,53909.23153337164,70789.40500000004,19571.38435897436,1147.0049262419498,1506.1575531914903,359.1526269495405,LightGBM
1,47,6.0,1799.1182015905276,1224.5,16.333333333333332,299.8530335984213,204.08333333333334,-95.76970026508795,PatchTST
1,48,46.0,23715.70792942095,29055.995769999998,1077.1576315789473,515.5588680308903,631.6520819565217,116.0932139256314,LightGBM
1,49,47.0,96967.98414319902,75086.408,11080.511282051282,2063.1485987914684,1597.5831489361701,-465.5654498552983,PatchTST
1,52,47.0,22259.010060877226,19342.1738,1986.3135897435895,473.59595874206866,411.53561276595747,-62.06034597611119,PatchTST
1,54,43.0,5841.612293718053,1338.865056,42.447428571428574,135.8514486911175,31.136396651162794,-104.7150520399547,PatchTST
1,55,47.0,56742.43065812046,76169.60879999999,10397.869999999999,1207.285758683414,1620.6299744680848,413.3442157846707,LightGBM
1,56,47.0,40145.04922821108,47897.34955,4634.547692307692,854.1499835789591,1019.0925436170213,164.9425600380622,LightGBM
1,58,47.0,69449.3339990145,58676.2621,3253.255641025641,1477.6454042343512,1248.4311085106383,-229.2142957237129,PatchTST
1,59,47.0,4606.961676571432,3984.495864,185.27923076923076,98.02046120364749,84.77650774468086,-13.24395345896663,PatchTST
1,60,47.0,6743.58592770147,4757.405019999999,955.4871794871794,143.48055165322276,101.2213834042553,-42.259168248967455,PatchTST
1,67,47.0,51581.17961604467,78757.4301,7621.578461538462,1097.4719067243545,1675.6900021276595,578.2180954033049,LightGBM
1,71,47.0,46518.47840883183,45533.24339999999,2812.3397435897436,989.7548597623793,968.7924127659572,-20.962446996422045,PatchTST
1,72,47.0,384224.38173301355,415311.357,45605.56717948718,8174.986845383267,8836.41185106383,661.425005680564,LightGBM
1,74,47.0,67060.00238839367,74590.5045,11895.978974358974,1426.8085614551844,1587.0320106382978,160.22344918311342,LightGBM
1,79,47.0,167671.02073751483,123018.36499999999,35531.354358974364,3567.4685263301026,2617.4120212765956,-950.056505053507,PatchTST
1,80,47.0,96573.95112594464,147184.44700000001,19506.71641025641,2054.7649175732904,3131.5839787234045,1076.819061150114,LightGBM
1,81,47.0,85340.41576280296,49612.074000000015,31320.45256410256,1815.7535268681481,1055.5760425531919,-760.1774843149562,PatchTST
1,82,47.0,80514.90766910321,68877.93399999998,20266.670769230772,1713.083141895813,1465.487957446808,-247.59518444900505,PatchTST
1,83,47.0,52739.67589185756,37992.9093,6158.764871794871,1122.1207636565439,808.3597723404255,-313.7609913161184,PatchTST
1,85,47.0,26111.585410222946,17253.989800000003,3150.9551282051284,555.5656470260201,367.1061659574469,-188.4594810685732,PatchTST
1,87,47.0,183329.31234724243,193483.3,52684.904102564105,3900.623666962605,4116.6659574468085,216.04229048420348,LightGBM
1,90,47.0,173317.61547483277,153386.33500000002,87743.11307692308,3687.608839890059,3263.539042553192,-424.06979733686694,PatchTST
1,91,47.0,124455.17484950845,93228.59599999996,67242.25564102564,2647.982443606563,1983.5871489361693,-664.3952946703935,PatchTST
1,92,47.0,445839.4792960901,247726.94500000012,141897.7058974359,9485.946368001916,5270.78606382979,-4215.160304172126,PatchTST
1,93,47.0,179241.53432194953,159428.58800000005,76614.66025641025,3813.649666424458,3392.0976170212775,-421.55204940318026,PatchTST
1,94,47.0,208939.33120326645,305413.42299999995,64615.189230769225,4445.517685175882,6498.1579361702115,2052.640250994329,LightGBM
1,95,47.0,314489.5158869751,185097.88100000005,127251.13307692308,6691.266295467555,3938.252787234044,-2753.0135082335114,PatchTST
1,96,47.0,168815.57699587446,156830.751,37130.859743589746,3591.820787146265,3336.824489361702,-254.996297784563,PatchTST
1,97,47.0,90654.15245059629,72190.51100000006,36630.545641025645,1928.811754268006,1535.9683191489373,-392.8434351190688,PatchTST
1,98,47.0,41898.68776078409,65812.3345,12216.64794871795,891.4614417188103,1400.2624361702126,508.8009944514023,LightGBM
1,99,30.0,22938.543691939212,13798.117760000001,157.74363636363637,764.6181230646404,459.9372586666667,-304.68086439797366,PatchTST
2,1,47.0,318315.01308611676,370339.94399999996,30110.99358974359,6772.659852896101,7879.573276595744,1106.9134236996424,LightGBM
2,2,47.0,138229.36076453966,137327.51200000002,66536.02820512821,2941.0502290327586,2921.861957446809,-19.18827158594968,PatchTST
2,3,47.0,149431.02008845576,167946.9725,18127.196666666667,3179.3834061373564,3573.339840425532,393.95643428817584,LightGBM
2,4,47.0,156520.1602405738,98342.524,45590.36282051282,3330.2161753313576,2092.3941276595747,-1237.822047671783,PatchTST
2,5,47.0,131647.48336061084,160601.027,25551.94717948718,2801.010284268316,3417.0431276595746,616.0328433912587,LightGBM
2,6,47.0,38510.364158758806,30472.9781,4936.737435897436,819.3694501863575,648.3612361702128,-171.00821401614473,PatchTST
2,7,47.0,247596.37487237068,341104.309,34301.20538461539,5268.007976007887,7257.538489361702,1989.530513353815,LightGBM
2,8,47.0,266493.4277104131,165729.58400000006,60258.4035897436,5670.07293000879,3526.161361702129,-2143.9115683066607,PatchTST
2,9,47.0,229138.42444841957,193073.408,35904.12897435897,4875.2856265621185,4107.944851063829,-767.3407754982891,PatchTST
2,10,47.0,123823.50464086929,119726.09199999998,39393.431025641024,2634.542651933389,2547.3636595744674,-87.17899235892173,PatchTST
2,11,47.0,159424.24076184552,121101.35899999998,22381.253846153846,3392.0051225924576,2576.624659574468,-815.3804630179898,PatchTST
2,12,47.0,50607.40470085291,25587.27829999999,8064.557435897435,1076.7532915075087,544.4101765957445,-532.3431149117642,PatchTST
2,13,47.0,176676.80512726365,111232.95999999993,46297.62641025641,3759.0809601545457,2366.658723404254,-1392.4222367502916,PatchTST
2,14,47.0,123666.35071849516,142124.22,19950.04435897436,2631.198951457344,3023.919574468085,392.7206230107413,LightGBM
2,16,47.0,248592.0259969323,250018.161,31332.3441025641,5289.192042487921,5319.535340425532,30.34329793761117,LightGBM
2,17,47.0,90031.1776639235,81707.45349999999,13810.17487179487,1915.5569715728404,1738.4564574468084,-177.10051412603207,PatchTST
2,18,38.0,116698.75688655418,360719.56999999995,6550.120333333333,3071.0199180672153,9492.620263157893,6421.600345090677,LightGBM
2,19,47.0,16931.208494478975,14572.7314,3617.12,360.23847860593565,310.058114893617,-50.18036371231864,PatchTST
2,20,47.0,33725.76969624606,31822.9223,5948.690512820513,717.5695680052354,677.0834531914893,-40.4861148137461,PatchTST
2,21,47.0,40322.31980644143,35602.74900000001,8548.708974358975,857.9216980093921,757.5052978723406,-100.41640013705148,PatchTST
2,22,47.0,100865.00664229217,82075.6105,12698.247948717948,2146.063971112599,1746.289585106383,-399.7743860062162,PatchTST
2,23,47.0,137960.26696250134,152047.755,27837.45717948718,2935.32482898939,3235.058617021277,299.7337880318869,LightGBM
2,24,47.0,53864.59058819022,49997.86920000001,7344.385897435897,1146.0551188976642,1063.78445106383,-82.2706678338343,PatchTST
2,25,47.0,96188.85306660927,71664.548,14558.169743589744,2046.5713418427504,1524.7776170212765,-521.7937248214739,PatchTST
2,26,47.0,50558.963973697086,61512.3375,8445.932307692306,1075.7226377382358,1308.7731382978723,233.05050055963648,LightGBM
2,27,47.0,12728.417271615477,9516.3965,1537.2953846153848,270.8173887577761,202.47652127659575,-68.34086748118034,PatchTST
2,28,47.0,3825.6649173920946,5425.66799,605.4502564102564,81.39712590195946,115.43974446808511,34.042618566125654,LightGBM
2,29,47.0,30050.644011886114,33413.5314,6399.795641025641,639.3754045082152,710.9262,71.55079549178481,LightGBM
2,30,47.0,23583.936652564906,33511.9891,4558.612820512821,501.7858862247852,713.021044680851,211.2351584560658,LightGBM
2,31,47.0,26390.711356855067,23156.6232,3599.9469230769228,561.5044969543632,492.6941106382979,-68.81038631606526,PatchTST
2,32,47.0,104277.75445360823,77919.95700000001,10731.055641025641,2218.6756266725156,1657.871425531915,-560.8042011406005,PatchTST
2,33,47.0,54900.7705760272,59319.9329,6519.515128205128,1168.1015016176,1262.1262319148937,94.02473029729367,LightGBM
2,34,47.0,107108.84571227939,109281.17800000001,17793.73692307692,2278.9116108995613,2325.131446808511,46.21983590894979,LightGBM
2,35,47.0,41079.34712921175,44725.9138,3811.2387179487177,874.0286623236542,951.6151872340427,77.58652491038845,LightGBM
2,36,47.0,38163.42759132577,36614.49437,2789.7333333333336,811.9878210920377,779.031795106383,-32.95602598565472,PatchTST
2,37,47.0,32110.731290617226,15564.894399999994,4585.1048717948715,683.2070487365368,331.16796595744665,-352.0390827790901,PatchTST
2,38,47.0,359266.04164044454,432520.033,76608.2135897436,7643.958332775416,9202.553893617021,1558.5955608416052,LightGBM
2,40,47.0,345072.51984358445,214903.048,79105.6758974359,7341.968507310307,4572.405276595745,-2769.5632307145625,PatchTST
2,41,47.0,44299.72035689123,43808.99237,2403.9364102564105,942.5472416359836,932.1062206382978,-10.441020997685769,PatchTST
2,42,47.0,61087.82586383456,35892.262899999994,9114.128461538461,1299.7409758262672,763.6651680851063,-536.0758077411609,PatchTST
2,44,47.0,35757.57761493867,46602.614499999996,7127.316410256411,760.7995237220995,991.544989361702,230.74546563960257,LightGBM
2,45,7.0,617.2890510243217,136.227279,11.742857142857144,88.18415014633167,19.461039857142858,-68.72311028918881,PatchTST
2,46,47.0,74580.70232949138,85666.752,29316.70820512821,1586.8234538189656,1822.6968510638296,235.873397244864,LightGBM
2,47,3.0,2411.222126807777,198.184211,42.666666666666664,803.7407089359257,66.06140366666666,-737.679305269259,PatchTST
2,48,46.0,43418.28999183532,42415.77218,1667.638947368421,943.8758693877244,922.0820039130434,-21.793865474680956,PatchTST
2,49,47.0,162815.1971668717,112424.817,16506.342564102564,3464.153131210036,2392.017382978723,-1072.1357482313128,PatchTST
2,52,47.0,24335.208616669588,24116.1123,3763.1789743589748,517.770396099353,513.1087723404255,-4.661623758927476,PatchTST
2,54,39.0,3105.412267372955,1331.4219728,41.07371428571428,79.62595557366551,34.139024943589746,-45.48693063007576,PatchTST
2,55,47.0,41678.13211890198,47896.3598,9352.265384615386,886.7687684872761,1019.071485106383,132.30271661910683,LightGBM
2,56,47.0,59375.13907169746,59468.4871,6071.964358974359,1263.3008313127118,1265.286959574468,1.986128261756221,LightGBM
2,58,47.0,240246.79051430672,210090.432,20405.641025641027,5111.63384072993,4470.009191489362,-641.624649240568,PatchTST
2,59,47.0,10626.288029666866,10379.371595,369.5015384615385,226.09123467376313,220.8376935106383,-5.253541163124822,PatchTST
2,60,47.0,6100.964510012131,3669.91123,296.5128205128205,129.807755532173,78.08321765957447,-51.72453787259852,PatchTST
2,67,47.0,94637.89152268926,107316.57889999998,12171.030512820513,2013.5721600572183,2283.331465957446,269.7593059002279,LightGBM
2,71,47.0,42999.7994303674,49313.6352,5025.931282051282,914.889349582285,1049.2262808510638,134.3369312687788,LightGBM
2,72,47.0,473157.05435647897,518115.084,67583.77615384615,10067.171369286787,11023.72519148936,956.5538222025734,LightGBM
2,74,47.0,65221.97141984733,49051.219499999985,16548.508461538462,1387.7015195712197,1043.642968085106,-344.05855148611363,PatchTST
2,78,8.0,19941.54138215156,84.68,12.91,2492.692672768945,10.585,-2482.107672768945,PatchTST
2,79,47.0,153366.29598261224,97784.02300000003,32314.31333333333,3263.1126804811115,2080.5111276595753,-1182.6015528215362,PatchTST
